title,amount,department,date,city,views,details
Bribe paid to get a bike that was being toed,"1,200","Traffic Fines, Penalties, Rules","December 8, 2019","Bangalore, Karnataka",1532,This incident took place in electronic city near Infosys office when i had parked my two wheeler in an area that looked like a parking and had no no p...
Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard ,"50,000",Employee Grievances,"November 30, 2019","Chennai, Tamil Nadu",2954,At the time of Admission  in School Principal has told me we take Rs:- 50000 by Cheque for Per-Kg Standard & if your Child is Capable for L.K.G than w...
Pressuring to give bribe. ,"15,000","Traffic Fines, Penalties, Rules","November 29, 2019","Patiala, Punjab",1493,"Hello,  It all started in 2017. I was involved in a car accident in zirakpur, Mohali. It was my fault and i agreed to the same. As a dog came in front..."
Address  reasons,"1,000",Police Clearance Certificate,"November 29, 2019","Pune, Maharashtra",4040,"If  address  is incorrect Psk employee can reject  my application , psk employee  same please  fill address  as per addhar card address  is mentioned,..."
House no is not mentioned in address that reasons ,"1,000",,"November 29, 2019","Pune, Maharashtra",2664,"Passport verification police officers,  ask me bribe to house no is not in address,  locations  is hinjawadi police station,  he pressure me you appli..."
Driving license related,"1,500",Services,"November 29, 2019","Chikballapur, Karnataka",1279,"Without a broker, they are failing in LL TEST WE NEED TO PAY 1500+ TO BROKER  THEY WILL PUT THEIR BROKER LETTER ON THTT FILE WHERE AN RTO OFFICER CAN ..."
Paid a bribe to get encumberance certificate,500,Certificates,"November 28, 2019","Bangalore, Karnataka",1776,I paid a bribe of Rs 500 to get signed copy of encumbrance certificate. The assigned officer told me it would be stalled for 15 days otherwise. The br...
Toll away of vehicles,650,"Traffic Fines, Penalties, Rules","November 28, 2019","Bangalore, Karnataka",1498,"I had parked my vehicle in a parking space near lavelle Road, Ashok Nagar. And I had taken the photograph of my bike being parked in a parking space o..."
Paid in  the name of lawyer fees,"34,000",Property Registration,"November 28, 2019","Bangalore, Karnataka",1454,"Sir, After paying thousands as lawyer fee during property registration, I request the following to note. The registration staff has commited a mistake..."
"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-","17,000","Traffic Fines, Penalties, Rules","November 28, 2019","New Delhi, Delhi",1928,"My Name Is Dhruv Singh And I am a fashion designer by proffession,on 23rd of november 2019,there is an event in my showroom for which i purchased some..."
Property Registration,"9,500",Property Registration,"November 27, 2019","Bangalore, Karnataka",1394,The bribe paid was for registering my property and it was paid to the Subregistrar at the office at Sahakar Nagar opposite to Chariman's club in Banga...
Indira Gandhi International Airport terminal 3,"2,500",Excess Baggage,"November 26, 2019","New Delhi, Delhi",2841,"Hi,  On 24NOV2019 at 11:00 am on my way back to Stockholm with the flight AI167 I had an incident with a person who was staying at the business class ..."
They asking me bribe for community certificate ,100,Certificates,"November 26, 2019","Thiruvarur, Tamil Nadu",1127,I applied Community certificate on Nov 15 in mannargudi my vao signed two days later butaftr I went to mannargudi taluk office in that assistant of RI...
Birhalganj police asking for bribe,"10,000",FIR and Complaints,"November 26, 2019","Gorakhpur, Uttar Pradesh",1412,I went to Lodge a complaint against my sister in law she is having extra Marital affair the birhalgnj police inspector asking me rs 10000 for register...
Paid bribe for bike towed from parking place,"1,000","Traffic Fines, Penalties, Rules","November 24, 2019","Bangalore, Karnataka",1575,Evening I parked my bike and went to a restaurant. The parking place was not blocking the road nor it was on footpath. And there was no board mentioni...
Over speeding,350,"Traffic Fines, Penalties, Rules","November 24, 2019","Bangalore, Karnataka",1466,Caught next to hosa road bangalore for over speeding.. bribe collected was rs.350..  99%of police are trying to bribe in bangalore.....
Corruption,"8,000",Land Registration,"November 23, 2019","Yellandu, Telangana",1115,Name of the officer: vijay kumar (VRO) Date of incident: oct 2 Time of the incidents 12:35pm Location: mahabubabad district Incident took place in MRO...
"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000","1,000",Verification and Certificates,"November 23, 2019","Pollachi, Tamil Nadu",1461,"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000.We did not have the original rc book in our hand.Then they bought..."
Traffic Cop Took Bribe ,150,"Traffic Fines, Penalties, Rules","November 23, 2019","Chennai, Tamil Nadu",2811,Beach station Traffic Cop has 4 - 5 men to collect his bribe. He doesn't talk to us directly. He asked us to talk to them to take our towed vehicle. T...
Department not moving the fields closing with out any information,"1,000",Caste Certificate,"November 22, 2019","Tumkur, Karnataka",2969,I had asked for podi of my land and past 3 year submitting application not doing anything accepting some thing not doing anything...
Address Verification for Passport Application,"1,000",Verification and Certificates,"November 21, 2019","Satara, Maharashtra",1330,Police officer in charge to conduct address verification regarding my application for new passport asked to pay bribe of Rs.1000 to clear verification...
Paid bribe to police officer for passport verification,"2,000",Policies and Procedures,"November 21, 2019","Ranchi, Jharkhand",2080,"I have paid 2000 for passport verification in pandra thana in ranchi for my father ,mother and myself ...."
Conflict of interest.,"68,000",Commercial and Industrial,"November 21, 2019","New Delhi, Delhi",1811,Additional manager of gail Vikas Agarwal has been corruptimg the system along with his wife and cousin from cbse. He got my company aashima foods a co...
They are taking condonation over the limite,"10,000",Certificates,"November 20, 2019","Visakhapatnam, Andhra Pradesh",1961,"My self preetham I'm from vizag I'm studied  in Sankethika government college ,  as my health condition was not good I couldn't go to CLG few months ,..."
Fraud company,"2,200",Others,"November 19, 2019","Gurgaon, Haryana",2371,"Company name- career care solutions, delhi Owner name- Tarun Rana & Arun Rana Location- Barakhabha road, Cannaught Lane, delhi-110001 Date- 25 oct, 20..."
For a signature that he visited my native place to confirm I am staying in that place from past 20 y,500,Certificates,"November 19, 2019","Punganur, Andhra Pradesh",780,"As per the rule, Police officer has to visit our village and has to take signatures of neighbours for verification, he said I won't come as I did not ..."
License LLR ,300,Others,"November 18, 2019","Vijayawada, Andhra Pradesh",2032,I have been asked to pay extra money for the issue of LLR...
Amount paid to obtain food license,"4,000",Food License,"November 18, 2019","Bangalore, Karnataka",1306,Even though all documents which were necessary were produced the officer by name Uday kept on asking office expenses(bribe) upon refusal he delayed th...
Paid bribe for birth certificate,"4,000",Certificates,"November 18, 2019","Guntur, Andhra Pradesh",1143,I couldn't remember exact date but i bribed my uncle in order to get my birth certificate .  We approached him to get the certificate as soon as possi...
Constable asked for bribe ,"1,000",Policies and Procedures,"November 18, 2019","Ramagundam, Telangana",672,"Two constables came to my home for verification and asked for 2000/- bribe later, they settled for 1000/-...."
LEGAL METROLOGY,650,Others,"November 18, 2019","Rajahmundry, Andhra Pradesh",1455,"Hi sir i am using weighing machine since 4 years ,as per government rule i should renewal it every year , the renewal amount is just 350 rupees ,but t..."
No license,500,Autorickshaws,"November 18, 2019","Guntakal, Andhra Pradesh",2839,I was fined but I gave bribe and escaped from there. But later felt very bad of doing it. And the very next week I applied for licence ...
Police verification for passport,200,Verification and Certificates,"November 17, 2019","Vadodara, Gujarat",1471,"On 13 th nov 2019, at chhani police station, i was asked for 200 rupees as bribe for police verification for passport..."
Bank manager Mr. garg is asking for a amount of loan money on the name of processing fee.,"3,000",Loans,"November 16, 2019","Pithoragarh, Uttarakhand",1039,"Hello sir,                    I am a citizen of the Pithoragarh district of Uttarakhand.  In the branch of S.B.I. Ganai Gangoli (branch code-6958), th..."
Bribe Rs 45000 to ESE Bokaro for payment,"45,000",Services,"November 15, 2019","Bokaro, Jharkhand",1586,"ESE Mukul Kumar Gorware , ESE Chas Bokaro is a very corrupt officer. Taken Rs 45000 against Cheque payment...."
Nandi Hills,300,Others,"November 15, 2019","Bangalore, Karnataka",2125,"I had been to Nandi Hills with my family on 14th of November in my car. Last year we were allowed to take the car to the top, where there is parking s..."
"Pariksha Bhavan, Bangalore University",100,Certificates,"November 15, 2019","Bangalore, Karnataka",2089,"Hi, I had gone to collect a certificate from Bangalore University on 9th October 2019 after 2.00 pm. I had paid the necessary fees and had taken all t..."
Police verification,200,Policies and Procedures,"November 15, 2019","Gondiya, Maharashtra",1148,"This incident happened recently today at 11.45 am at tirora, name of official is Mukesh mahalgave who asked for 400 rs for completing passport verific..."
I paid a Bribe,"30,000",Land Registration,"November 15, 2019","Bangalore, Karnataka",1226,"Hi Team,  My Mom's ancestors property got Registered very recently and we are following up with one of the Village accountant for Khara to get Transfe..."
For drug license,"20,000",License for Sale of Drugs,"November 14, 2019","Sagar, Madhya Pradesh",2581,Dear sir  I feel unemployment is a big problem in our country.  So any person start business need money for taking permission from government.  I open...
Corruption in jal nigam in dehradun,"1,500",Water Connection,"November 13, 2019","Dehradun, Uttarakhand",1934,"We are starting the construction of our house in November 22 2019  and for that purpose we need a water connection , so we reached to the nearest Jal ..."
Ticket checker take 200,200,,"November 13, 2019","Rewari, Haryana",1112,Ticket  checker take 200 for seat. Train no 22481 Jodhpur Delhi super fast Sleeper coach Time : 4:30 am TT WITH reservation chart Age -35 year old ...
Solar net meter connection,"2,000",Change of Tariff in Domestic to Commercial,"November 11, 2019","Nashik, Maharashtra",2990,Kamthawade Msedcl section engg...
I paid a bribe to TTR,100,Ticket and Seat Related,"November 11, 2019","Katpadi, Tamil Nadu",767,I travelled in Trivandrum express (12695) on  8/11/2019 from Katpadi to Erode. I took an open ticket and travelled in a reservation compartment S5. Af...
Rs. 500 asked for issuing salary acquittance,500,College Leaving Certificate,"November 11, 2019","Coimbatore, Tamil Nadu",2838,I'm applying for TN TRB recruitment. So I was in need of salary acquittance.   Another colleague of mine informed that they are collecting Rs. 500 for...
Paid bribe to RTO Motor Vehicle Inspector through broker,"3,000",Vehicle Fitness,"November 11, 2019","Chennai, Tamil Nadu",2789,Chennai Alandur RTO Motor Vehicle Inspector Krishnan receives bribe thorough touts and brokers. PJP Consultants is a broker having office at New stree...
Padwad name of officer,"20,000",Customs Check and Clearance,"November 10, 2019","Banda, Uttar Pradesh",1218,The officer assingend at the goa mumbai check post is tsken a bribe of 20000 from me name padwad because I was traveling with a lady i dont think it i...
Near zeromile(hfc gate)chek post.,100,FIR and Complaints,"November 10, 2019","Begusarai, Bihar",1552,Sir zeromile chek post par sabhi mal bahak vahan se 100 rupee ghush liya jata hai....
I Think I Paid a Bribe,300,"Traffic Fines, Penalties, Rules","November 9, 2019","Jaipur, Rajasthan",1480,"This happend with me in Jaipur at Hathroi Chok on 9th November 2019 between 2-3 pm, when I was stopped by 2-3 traffic policemen for violating 1-way tr..."
I think I paid a bribe,300,"Traffic Fines, Penalties, Rules","November 9, 2019","Jaipur, Rajasthan",1503,"This happend with me in Jaipur at Hathroi Chok on 9th November 2019 between 2-3 pm, when I was stopped by 2-3 traffic policemen for violating 1-way tr..."
Chief Fire Officer demanded large sums for handing over the Fire Advisory,"2,00,000",Others,"November 7, 2019","Bangalore, Karnataka",1275,"Cheif Fire Officer C. Gurulingaiah demanded we pay 2 lakh rupees to release the Fire Advisory Report, since he ""only"" received 1 lakh last year, we we..."
Paid bribe behalf of our company,800,Services,"November 7, 2019","Surat, Gujarat",1890,"Qureshi, Patel 07/11/19 3 pm Zone office  Accountant..."
We were defaulters in paying the common board electricity bill in apartments,"5,000",Payment and Arrears,"November 7, 2019","Chennai, Tamil Nadu",2168,"6/11/19 afternoon timing ,  The Head of DC (defaulters) division , we had not paid the commons meter in our apartment 2yrs approx( there is not much u..."
UPCL new connection brige,"1,500",Change of Tariff in Domestic to Commercial,"November 6, 2019","Dehradun, Uttarakhand",2631,Bribe to Bindal UPCL officers...
Residential Building plan approval,"30,000",Building Construction Approval,"November 6, 2019","Chennai, Tamil Nadu",3180,I have submitted the application seeking approval of building plan with necessary enclosure ( E ) 3 sets and Form 49 if the Local body fall in LPA  (C...
BSNL WEST BENGAL TO ASSAM  ALL ARE CORRUPTED,"20,000",Telephone and Internet Connection,"November 6, 2019","Lumding, Assam",776,"I being Customer has to borne Around INR. 17,000.00 For Broadband Connection My House  Is 700m from Exchange, so I have to pay all the cost of wiring ..."
Bribe 500 Rs for issuing birth certificate,500,"Births, Family and Care","November 5, 2019","Kota, Rajasthan",1785,"I had requested for duplicate birth certificate in Kota Nagar Nigam, as I had lost the original one. For that, I have already submitted documents requ..."
Pensioner Alive procedures ,"2,000",Policies and Procedures,"November 5, 2019","Nagpur, Maharashtra",1853,Name of the officer :- unknown  Date :-5/11/19 Time:-3:30 Location:-post office sadar bazar nagpur 440001 Designation:- postmaster ...
Https://rbinnovations.com/collections/super-chargers/xtm-racing,"1,222",Others,"November 1, 2019","Adilabad, Telangana",1828,Supercharge your R/C vehicle and also systems will boost horsepower and performance of any RC nitro engines. Visit @ https://rbinnovations.com/collect...
Traxxas T-Maxx 3.3 & 2.5 / Sport Maxx / S-Maxx / Nitro 4 Tec Supercharger,"1,200",Others,"November 1, 2019","Adari, Uttar Pradesh",2016,"We at rbinnovations.com offers you Traxxas T-Maxx 3.3 & 2.5, Sport Maxx, S-Maxx & Nitro 4 Tec Supercharger and an optional auxiliary pressure output p..."
Losi XXXNT Supercharger - Losi XXXNT For Sale,"1,222",Others,"November 1, 2019","Abohar, Punjab",2025,We at RBinnovations.com has launched almost certainly the most superior and highest high quality entry stage ready-to-run Nitro Truck the interest bus...
Paid a bribe of 9000 rupees for property registration,"9,000",Property Registration,"October 25, 2019","Vijayawada, Andhra Pradesh",1499,"Date: 25th oct 2019 Location: Vissannapeta,Krishna district,Andhra pradesh. My father sister and my self has done property partition and paid a challa..."
Corrupted officer,"50,000",Saplings and Tree Cover,"October 25, 2019","Nashik, Maharashtra",2012,25/10/2019 Rs 38000/- Give from Wood Supplyers of D.B.Borse Range Forest officer Nandgaon Dist Nasik...
INDIRECTLY FORCED APPLIED,1,Change of Tariff in Domestic to Commercial,"October 25, 2019","Rudauli, Uttar Pradesh",2435,THE UPPCL POWER CORPORATION DISCONNECTED MY CONNECTION ON NON PAYMENT.I WAS AGREE TO MAKE FULL PAYMENT AT ONCES WHICH WAS RUPEES 19361/- (ACCORDING TO...
AR9 9mm BCG Bolt Carrier Group Assembly Mag-Phos- U.S MADE,"1,200",Others,"October 25, 2019","Adari, Uttar Pradesh",2051,"Get online complete 9mm bolt carrier group assembly with phosphate finish, superior to chrome lined and parkerized bolt carrier groups, can use Glock ..."
How To Select Boating Shoes That Are Handy As Well As Fashionable,"1,200",Others,"October 25, 2019","New Delhi, Delhi",1710,"Boat shoes or topsiders, whatever you call them, boating shoes have turned out to be both a prevalent and effective style explanation for on and off o..."
Asked bribe to initiate police verification.,500,Verification and Certificates,"October 25, 2019","Ghaziabad, Uttar Pradesh",2127,"The incident took place at Cloud9  Apartments, Indirapuram, Ghaziabad, 201014 at 7:45 in the morning on 16th October 2019.  I had applied for my passp..."
Refill Your Electronic Cigarette Cartridges Timely To Have Smokeless Smoking Experience,122,Others,"October 24, 2019","New Delhi, Delhi",1729,"As indicated by numerous individuals, the e-cigarettes have now advanced as a feasible option in contrast to both standard smokers and non-normal smok..."
The Top Electric Scooters and Hoverboards - Is the World Finally Set to Accept Them?,"1,200",Others,"October 24, 2019","New Delhi, Delhi",1708,"2019 it is considered to be a lucky year for innovation and for hoverboards specifically. After the blast in the preceding year, the notoriety of th..."
TTE was constantly asking for bribe even though we have confirmed ticket,300,Ticket and Seat Related,"October 23, 2019","Pune, Maharashtra",2706,We 4 people travelling through Pune - Nagpur garibrath express in coach no. G-17. I showed my ID proof but he constantly asked for bribe to my sister ...
Name of Officer: Amit Shrivastav Date of Incident: 28-June-2019…,"5,000",Others,"October 23, 2019","Indore, Madhya Pradesh",2048,Name of Officer: Amit Shrivastav Date of Incident:  28-June-2019 Time of Incident: 5PM Location of incident and the office where the incident took pla...
Losi XXXNT Supercharger - Losi XXXNT For Sale,"1,200",Others,"November 1, 2019","Greater Noida, Uttar Pradesh",1521,We at RBinnovations.com has launched almost certainly the most superior and highest high quality entry stage ready-to-run Nitro Truck the interest bus...
Mandal Agriculture officer Atmakur,"10,000",Others,"November 1, 2019","Warangal, Telangana",1307,Mandal Agriculture officer Mr.yadagiri and senior assistant in Joint Director of Agriculture office Mr. Natraj this people are taking bribes for doing...
Completely bribe in KGF RTO end to end,"3,000",Vehicle Fitness,"October 31, 2019","Kolar, Karnataka",1414,Very worst RTO in KGF . Broker is first point in bribe they are dealing directly to RTO inspector. There are more broker's then employees . Today I pa...
Lady was asking for bribe,"2,000",Sales Tax,"October 31, 2019","Bilaspur, Chhattisgarh",1319,One Lady from sales tax office came to my shop and was asking for bribe. Her surname was thakur. I have video proof. She came from sales tax office ne...
Kollala Deputy Tahsildar Office is selling Public Records.,500,Certificates,"October 29, 2019","Tumkur, Karnataka",2277,"As a routine abuse of his position,  Madhu Chandra Deputy Tahsildhar is daily selling copies and extracts to whoever pays him.  I will manipulate and ..."
Found Theft bike,"7,000",,"October 29, 2019","Chitradurga, Karnataka",1664,I lost my bike approx 3 months back. Police has already taken some money while filing FIR. They were only giving some answer for not giving NTC ( Non ...
I was robbed of Rs100 by RTO,100,"Traffic Fines, Penalties, Rules","October 28, 2019","Nashik, Maharashtra",2374,"Coming from Ojher to Nashik City, I was stopped by Nashik Rural  RTO for random check, during paper-work check, they found that my PUC has expired, I ..."
Corruption,"2,500",FIR and Complaints,"October 26, 2019","Chennai, Tamil Nadu",1947,Tambaram railway station. I don't know police name. Time 8 30 pm...
The Officer is corrupt,"1,600",Verification and Certificates,"October 26, 2019","Gulbarga, Karnataka",1738,I went Aland Police station for Verification Process but the officer ask me 2000 rs for verification ...
Bribes taken for LDC post in Darjeeling district Court examination 2019 batch,"8,00,000",Government Personnel,"October 25, 2019","Darjeeling, West Bengal",1042,As per the sources many candidates have given bribes for the post of LDC in Darjeeling district Court examination 2019.. Pls investigate the matter at...
Bribe Collected by document writter,"25,000",Property Registration,"October 23, 2019","Sivagiri, Tamil Nadu",691,"Registrar instructed to collect bribe for all documents by the document writer, as per my calculation he makes approx 1 lacks on normal days and more ..."
Smoking in public place,250,Police Harassment,"October 23, 2019","Bangalore, Karnataka",2858,"Date: 23/10/19 Time: 9:45AM Location : Near polar bear, Kumaraswamy layout, Bangalore-78. Designation: no Star Two officers came in a hero honda blue ..."
Demanding money by police by running hotel,"1,000",Autorickshaws,"October 22, 2019","New Delhi, Delhi",2762,From 4 months demanding money for running hotel please help me 8008688223 my contact Indergiet police name  Gautam Nagar  New Delhi...
The RTO in Amingaon is impossible to deal with.,600,Driving Licenses and Tests,"October 21, 2019","Guwahati, Assam",1795,On Saturday 19 Oct 2019 I went to RTO in Amingaon North Guwahati to renew mine license which was to expire. There was a man who was handling all such ...
They have not given change,5,College Leaving Certificate,"October 21, 2019","Bangalore, Karnataka",2728,They are illegaly collecting extra money...
Promotion and posting scam,"5,00,000",Bill Payment,"October 21, 2019","Bangalore, Karnataka",2643,"BJP leader and current RDPR ( Rural water supply and punchayat Raj ) minister Ishwarappa has taken 5,00,000 for Promotion and now requesting 5,00,000 ..."
I paid to get tempreory connection ,"2,000",Electricity Connection,"October 20, 2019","Koppal, Karnataka",1820,I have paid the bribe to junior engineer in charge for given tempreory connection which i required for construction of house...
Passport address verification ,500,Verification and Certificates,"October 19, 2019","Bangalore, Karnataka",1199,Bomanhalli Bangalore Police station.   I had e-bill for address verification. I was asked HR letter for address verification. I understood the intent ...
Bribe asked by BDO,"10,000",Public Works,"October 19, 2019","Nagapattinam, Tamil Nadu",2409,NAME: A lady BDO of KUTTALAM union of NAGAPATTINAM DISTRICT DATE: 18-10-2019 BRIBE: nearly 10000 rupees asks bribe to clear the bills for building the...
Regarding bribing the police for passport verification.,"1,800",Police Verification for Passport,"October 19, 2019","Gopalganj, Bihar",2502,Name of officer - balindra sah Date of incident - 4 sept 2019 Time - 1:40 pm Location of incident - gopalpur police station(near semra bazar)   That o...
Regarding bribing the police for passport verification. ,"1,800",Verification and Certificates,"October 19, 2019","Gopalganj, Bihar",1445,"I had applied for a new passport and after appointment about 7 days, I got a call on 04 sept 2019 from gopalpur police station (near semra bazar) for ..."
Regarding bribing the police for passport verification,"1,800",Verification and Certificates,"October 19, 2019","Gopalganj, Bihar",1509,This is my file no. - PA1064081385419. Officer name - balindra kumar Date of incident - 4 sept 2019 Time - 01:40 pm Location of incident - gopalpur th...
Police verification,200,Policies and Procedures,"October 18, 2019","Dehradun, Uttarakhand",1847,"Wanted police verification for my brother as he needs it for his army recruitment official there demanded money, and sinxe he is in army he wanted a b..."
Paid bride ,"1,000",Vehicle Insurance,"October 16, 2019","New Delhi, Delhi",1761,Traffic constable sunil kumar1000 rs for not having insurance and puc...time 7.30 pm... you can get it checked from camera ...
Traffic police,500,Vehicle Insurance,"October 16, 2019","New Delhi, Delhi",1692,Constable sunil kumar took 1000 rs as bribe at raj ghat at 7.30 pm.....
Complain for irresponsible officers,"10,000",Land Registration,"October 15, 2019","Barh, Bihar",716,"Sir I am Ravi kumar,s/o-Gopal prasad,vill- Majhla Bigha,post- Bihari Bigha,block-Pandarkh,dist-Patna,State-Bihar,pin-803214. Sir I have 4 acer land,an..."
Traffic Police exaggerated fine forceful,"2,000","Traffic Fines, Penalties, Rules","October 15, 2019","Pune, Maharashtra",2597,"While returning from my office in Hinjewadi towards balewadi on friday evening, just below wakad bridge I stopped at the corner to look for traffic be..."
Duplicate license copy for photo shoot,200,Duplicate Driving License,"October 15, 2019","Viluppuram, Tamil Nadu",3446,"14/10/2019 ,1:45pm Ulundurpet rto office photo shoot place camera man..."
This Festive season just got more interesting,"42,900",Loans,"October 15, 2019","Mumbai, Maharashtra",2182,"Are you looking for finance? Do you need a loan for to settle your bills, like personal loan, finance issue, business loan to  set up your own busines..."
To file case and to provide FIR the 2nd floor nolambur police writer police men and women,"4,000",FIR and Complaints,"October 14, 2019","Chennai, Tamil Nadu",1926,"My things got theft and i complaint to police, before 2 months. I asked them can you complain FIR, they start talking about me directly ""Give some amo..."
After the change of currency the financial system will fall secure your self now while you can,"78,500",Assessment,"October 14, 2019","Mumbai, Maharashtra",3490,"At the time of writing, Bitcoin is trading up marginally at its current price of $10,205 and is once again pushing up against its immediate resistance..."
For selling banned medicine and not having valid license ,"25,000",Pharmacy,"October 13, 2019","Sitamarhi, Bihar",1140,"Drug inspector Sitamarhi, bihar Date- 24th September,  2019 He raised my shop on 23rd September and seized some objectionable medicine and he demanded..."
Becoming A Millionaire in a fast growing economy like India is easy,"9,87,600",Sales Tax,"October 12, 2019","Mumbai, Maharashtra",2217,"What is pertinent now is that over the past few days trends show much hovering around the $10,200 ranges which most likely indicates a dip over a rise..."
I am a post office femle agent,50,Savings Scheme,"October 12, 2019","Jalaun, Uttar Pradesh",602,"I am a post office female agent, my household runs on the commission money I get from depositing my customers funds in post office. There is a list sy..."
They fined the People without reason and the show the fear of law to common people n collect money,"1,000","Traffic Fines, Penalties, Rules","October 12, 2019","Pune, Maharashtra",2518,When me and my friends are traveling on pune lonawala Highway that time there are RTO and police are there...they stopped us and ask for driving licen...
Bribe for legal heir certificate,500,Certificates,"October 11, 2019","Vellore, Tamil Nadu",2064,"I applied legal heir certificate before 10 days , I already went to the vao office and informed that I'm registered this in walaja taluk office and th..."
Ripnsalt Disposables & Nicotine Salts E-Liquid at Calivapepods.com,"1,200",Others,"October 11, 2019","Adityapur, Jharkhand",1964,Get online ripnsalt Disposables and each disposable is equivalent to 1 pack of cigarettes with each box contains 8 disposable units with ingredients: ...
"Change your future, bitcoin is going to replace banks","68,700",Certificates,"October 11, 2019","Faridabad, Haryana",1787,Making profit just got so easy thanks to Mr. Howard Vivek Strategy. I really want to use this medium to appreciate his effort and tremendous change in...
Your chance of safe heaven investment ,"4,56,000",Commercial and Industrial,"October 11, 2019","Adityapur, Jharkhand",1845,"I have made over $76,000 for about 2 months from trading bitcoin but my success never started that way as I had made substantial losses before my turn..."
"Bitcoin is back up,This is your chance ","6,78,000",Fire License,"October 11, 2019","Yemmiganur, Andhra Pradesh",1453,"What is pertinent now is that over the past few days trends show much hovering around the $10,200 ranges which most likely indicates a dip over a ris..."
I am a cha in custom the babu of custom officer is always asked me how much conenor i have ,"10,000",,"October 11, 2019","Jaipur, Rajasthan",1504,Custom babu who dispatch he always asked for bribe and if we say no then they are try to stop our work they all are same on the incident report ...
Hoverboards Segway/Swegway Circuit Board Repair Kit UK,12,Others,"October 11, 2019","Achhnera, Uttar Pradesh",1733,"Buy all your quality hoverboard shell replacement, Kids Full Dual System Hoverboards Segway/Swegway Circuit Board Repair Kit UK and Hoverboard Parts o..."
Making alot of money is easy now,"5,48,900",Sales Tax,"October 11, 2019","Chennai, Tamil Nadu",1630,"At the time of writing, Bitcoin is trading up marginally at its current price of $10,205 and is once again pushing up against its immediate resistance..."
GET RICH FAST LEGALY,"87,900",Others,"October 11, 2019","Mumbai, Maharashtra",2069,"I have made over $76,000 for about 2 months from trading bitcoin but my success never started that way as I had made substantial losses before my turn..."
Losi XXXNT Supercharger & Spare Parts at RBinnovations.com,22,Others,"October 11, 2019","Amadalavalasa, Andhra Pradesh",959,We at RBinnovations.com has released the most advanced and highest quality entry level ready-to-run Nitro Truck the hobby industry has ever seen and a...
"Get your Loan Approval,easy access fast transfer","9,00,000",Sales Tax,"October 10, 2019","Mumbai, Maharashtra",2020,"Are you looking for finance? Do you need a loan for to settle your bills, like personal loan, finance issue, business loan   to  set up your own busin..."
Wrong side driving by UBER Driver,500,"Traffic Fines, Penalties, Rules","October 10, 2019","Noida, Uttar Pradesh",2274,"I booked a uber bike ride, he take a wrong turn (wrong side entry) from Noida bypass flyover, traffic policeman stops us (only one policeman was there..."
PERSONAL LOANS UNDER 30 MINUETS ,"30,000",Sales Tax,"October 9, 2019","Mumbai, Maharashtra",2000,"Are you looking for finance? Do you need a loan for to settle your bills, like personal loan, finance issue, business loan to set up your own business..."
For registration of aadhar card ,300,Others,"October 9, 2019","Guwahati, Assam",1767,I have paid Rs300 for applying aadhar card at hatigaon charali behind bus stop in a flat at 2nd floor date 09/10/2019 time 12:30 pm. I have heard that...
Paid bribe to the BBMP Inspector to do perform his duty.,500,Services,"October 8, 2019","Bangalore, Karnataka",1118,"I filed a complaint with the BBMP Shettyhalli office with the problem of Drainage blockage by my neighbour, despite several followups and paying the b..."
I paid a bride,"10,000",Excess Baggage,"October 6, 2019","New Delhi, Delhi",2672,"I was traveling back to my country after a medical check up.  At immigration they took me to different room and asked if i had any cash left, i told h..."
Paid a bribe,"5,000",Excess Baggage,"October 6, 2019","New Delhi, Delhi",2437,I was traveling back to my country after a medical check up. They stopped me saying i do not have a note from my doctor clearing for me to fly. I call...
Bribe given to release my refunds,"40,000",Income Tax,"October 6, 2019","Mumbai, Maharashtra",2067,Hi  My refunds was pending from 15 16 16 17 and so but purposely they have kept on hold and inspite if sendi g so many mails to cpc no proper response...
Corrupt custom New Delhi airport ,"5,000",Customs,"October 6, 2019","New Delhi, Delhi",1906,"I was travelling on October 2, 2019 from New Delhi international Airport when I got called out by the customs they told me that I’m caring $4000 and..."
Had to pay bribe for land partition.,"20,000",Caste Certificate,"October 5, 2019","Dibrugarh, Assam",2897,"I had to pay a bribe to the mandal (land surveyor), also known as lekpal in some states. The land and revenue office is the most corrupt department he..."
"To close down old company, to get new tin number","50,000",Assessment,"October 5, 2019","Chennai, Tamil Nadu",3145,"Greams rd sales tax officer, ayanavaram sales tax officer..."
Bribe for adhar correction,250,,"October 4, 2019","Faizabad, Uttar Pradesh",994,Respect sir sbi bank branch harritingatanganj officer 250 rs lekar bank k samne janseva kendra par adhar card banata hai aur bank me nahi banata jisse...
Bribe paid for CGHS claim,"12,000",Disability Certificate,"October 4, 2019","New Delhi, Delhi",2961,My father works as Junior Engineer in MES in Delhi Cantonment. About to retire in Feb 2019. He had a heart attack in April and operated first on 30th ...
TAKE LOAN USING YOUR ID PROOF 15MNTS,"5,00,000",VAT,"October 4, 2019","Bangalore, Karnataka",1118,"Are You Financially down? Grab this life time financial loan offer and give your business, education, homes, and construction a lift. Our loan ranges..."
